id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8.0,,US,US-FL,Key Largo,no,07FA,OCA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,
6954,07TE,small_airport,Cuddihy Field,27.7211,-97.512802,39.0,,US,US-TX,Corpus Christi,no,07TE,CUX,07TE,,,
7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980.0,,US,US-CO,Crested Butte,no,0CO2,CSE,0CO2,,,Buckhorn Ranch
7426,0NM0,small_airport,Columbus Airport,31.823898,-107.629924,4024.0,,US,US-NM,Columbus,no,0NM0,CUS,0NM0,,https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(New_Mexico),
7545,0TE7,small_airport,LBJ Ranch Airport,30.251801,-98.622498,1515.0,,US,US-TX,Stonewall,no,0TE7,JCY,0TE7,,,
7866,13Z,seaplane_base,Loring Seaplane Base,55.601299,-131.636993,,,US,US-AK,Loring,no,13Z,WLR,13Z,,,Naha Bay
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,
7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0.0,,US,US-AK,Port Alice,no,16K,PTC,16K,,,
8126,19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50.0,,US,US-AK,Icy Bay,no,19AK,ICY,19AK,,https://en.wikipedia.org/wiki/Icy_Bay_Airport,
8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0.0,,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,
8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,,US,US-AK,Kalakaket Creek,no,1KC,KKK,1KC,,,
8566,1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,,US,US-CA,Dunsmuir,no,K1O6,MHS,1O6,,https://en.wikipedia.org/wiki/Dunsmuir_Municipal-Mott_Airport,
8753,1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190.0,,US,US-TX,Beeville,no,,NIR,TX2,,https://en.wikipedia.org/wiki/Chase_Field_Industrial_Complex,"1XA2, Naval Air Station Chase Field, Beeville Municipal Airport"
8774,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,4100.0,,US,US-AZ,Littlefield,no,,GCT,1Z1,,https://en.wikipedia.org/wiki/Grand_Canyon_Bar_10_Airport,Webbs Ranch
8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0.0,,US,US-AK,Ellamar,no,,ELW,1Z9,,,
9287,2AK,small_airport,Lime Village Airport,61.3591003418,-155.440002441,552.0,,US,US-AK,Lime Village,no,2AK,LVD,2AK,,,23AK
9294,2AK6,small_airport,Hog River Airport,66.176133,-155.684816,534.0,,US,US-AK,Hogatza,no,2AK6,HGZ,2AK6,,,
